Equipo;Puntos;Partidos Jugados;Victorias;Empates;Derrotas;Goles a Favor;Goles en Contra;Diferencia de Goles;Porcentaje de Puntos;Ultimos 5 Partidos;Posicion Liga;Variacion de Posicion;Racha Victorias;Racha Empates;Racha Derrotas;AVG Goles Marcados;AVG Goles Recibidos;Partidos Local;Ganados Local;Empatados Local;Perdidos Local;Puntos Local;Porcentaje Localia;Partidos Visitante;Ganados Visitante;Empatados Visitante;Perdidos Visitante;Puntos Visitante;Porcentaje Visitante;Porcentaje de liga Jugado;Partidos por Jugar;Nivel Division Actual;Puntos por Partido;Proyeccion de puntos finales;Puntos Ultimos 3 partidos;Promedio goleador;Promedio goles en contra;Media goles por partido;Ascendido este a�o de segunda;Trofeos de campeon de Primera division;Trofeos de campeon de Segunda division;Trofeos de campeon de Tercera division;Otros Trofeos;Trofeos Totales (Incluyendo otras Copas);ELO Rating;Division 2021;Division 2022;Division 2023;Division 2024;Puntos 2021;Puntos Por Partido 2021;Puntos 2022;Puntos Por Partido 2022;Puntos 2023;Puntos Por Partido 2023;Puntos 2024;Puntos Por Partido 2024;Varianza de puntos
Everton;15;5;5;0;0;16;6;10;100.0;15;1;0;5;0;0;3,2;1,2;2;2;0;0;6;1;3;3;0;0;9;1;0,109;41;1;3;123;9;3,20;1,20;4,40;0;0;0;0;0;0;86;1;1;1;1;81;1,929;77;1,833;44;1,467;31;1,033;0,16551
Aston Villa;13;5;4;1;0;17;4;13;86.7;13;2;0;2;0;0;3,4;0,8;3;3;0;0;9;1;2;1;1;0;4;0,666666667;0,109;41;1;2,6;107;7;3,40;0,80;4,20;0;1;1;0;3;5;95;2;1;1;1;110;2,391;89;2,119;67;2,233;67;2,233;0,01251
Hull City;10;5;3;1;1;14;8;6;66.7;10;3;2;0;1;0;2,8;1,6;3;1;1;1;4;0,444444444;2;2;0;0;6;1;0,109;41;1;2;82;4;2,80;1,60;4,40;0;0;0;0;1;1;93;1;1;1;1;83;1,976;89;2,119;61;2,033;67;2,233;0,01252
Bipolares F.C.;10;5;3;1;1;12;10;2;66.7;10;4;-1;0;0;1;2,4;2;2;1;1;0;4;0,666666667;3;2;0;1;6;0,666666667;0,109;41;1;2;82;6;2,40;2,00;4,40;0;0;0;0;1;1;90;1;1;1;1;83;1,976;77;1,833;51;1,700;54;1,800;0,01305
Northampton F.C.;9;5;3;0;2;14;9;5;60.0;9;5;-1;0;0;1;2,8;1,8;2;1;0;1;3;0,5;3;2;0;1;6;0,666666667;0,109;41;1;1,8;74;6;2,80;1,80;4,60;0;0;0;0;0;0;82;1;2;2;1;32;0,762;56;1,217;64;2,133;55;1,833;0,37871
Gillingham;9;5;3;0;2;11;10;1;60.0;9;6;0;0;0;1;2,2;2;2;2;0;0;6;1;3;1;0;2;3;0,333333333;0,109;41;1;1,8;74;3;2,20;2,00;4,20;0;0;0;0;0;0;79;1;1;1;1;37;0,881;38;0,905;38;1,267;26;0,867;0,03683
Bladequack F.C.;9;5;2;3;0;14;7;7;60.0;9;7;0;0;1;0;2,8;1,4;2;2;0;0;6;1;3;0;3;0;3;0,333333333;0,109;41;1;1,8;74;5;2,80;1,40;4,20;0;0;0;0;0;0;91;1;1;1;1;63;1,500;76;1,810;54;1,800;50;1,667;0,02099
Golden Wind;8;5;2;2;1;10;6;4;53.3;8;8;0;0;2;0;2;1,2;2;0;1;1;1;0,166666667;3;2;1;0;7;0,777777778;0,109;41;1;1,6;66;5;2,00;1,20;3,20;0;0;0;0;2;2;92;1;1;1;1;82;1,952;78;1,857;58;1,933;55;1,833;0,00333
Reading FC;8;5;2;2;1;7;6;1;53.3;8;9;7;1;0;0;1,4;1,2;2;1;1;0;4;0,666666667;3;1;1;1;4;0,444444444;0,109;41;1;1,6;66;4;1,40;1,20;2,60;0;0;1;0;0;1;84;2;2;1;1;71;1,543;87;1,891;46;1,533;40;1,333;0,05373
West Bromwich Albion;8;5;2;2;1;10;10;0;53.3;8;10;5;1;0;0;2;2;3;2;1;0;7;0,777777778;2;0;1;1;1;0,166666667;0,109;41;1;1,6;66;6;2,00;2,00;4,00;1;0;0;0;0;0;76;2;2;2;2;54;1,174;59;1,283;46;1,533;51;1,700;0,05689
