Loc\Vis;AFC;ATV;BIP;BLA;BLD;EVE;EXE;GLL;GDW;HLL;INC;IPS;KFC;MID;MLL;NOR;NRW;REA;SOU;SST;WBA;WGA;WLV;WYC
AFC;NAN;;1-2;;;;;;;2-2;;;2-2;2-2;2-3;;;;;;;1-2;;1-1
ATV;4-1;NAN;;;;;3-0;;;;3-1;;;;;;4-1;;2-2;;2-2;;;4-1
BIP;;;NAN;;;;;;;1-1;;;3-3;3-1;2-5;;;;;;;3-0;0-1;
BLA;;;;NAN;2-3;;;;2-4;;2-1;;;;;;1-1;1-1;;;1-2;;;
BLD;;;;;NAN;;;1-1;;;;;;;;4-4;5-1;1-0;;3-2;5-2;;;
EVE;;;;;2-2;NAN;;;;;3-2;;;;;;2-0;1-0;5-2;;1-5;;;
EXE;1-2;;1-3;;;;NAN;;;3-1;;;;1-1;0-2;;;;;3-0;;;;1-1
GLL;;;;1-1;;;;NAN;;;;1-3;;;;;;;;;;2-0;3-1;
GDW;;;;;;;;1-0;NAN;1-2;;;;;1-1;3-3;;;;;;2-0;4-3;
HLL;;2-0;;5-2;;0-2;;;;NAN;;2-2;2-2;;;;;;;;;;;1-0
INC;1-3;;0-4;;;;;;0-3;;NAN;;;;;1-3;;;3-2;4-3;;;;
IPS;;;;;;;1-4;;;;2-0;NAN;;;;;2-0;4-3;3-1;;2-1;;;
KFC;;2-2;;;;;3-1;;;;2-1;1-0;NAN;;;;2-1;;2-3;;;;;2-2
MID;;0-4;;;;0-2;;;;;1-0;0-1;1-5;NAN;;;;;1-1;;;;;1-0
MLL;;3-1;;3-4;2-2;2-4;;;;;;2-2;;4-4;NAN;;;;;;;;;
NOR;;;;;;3-1;;2-3;;;;;;;1-3;NAN;;;;;;6-2;;
NRW;;;0-2;;;;0-0;2-3;1-1;;;;;;;2-4;NAN;;;1-1;;;1-2;
REA;;;2-1;;;;;2-0;2-3;;;;;;;;1-4;NAN;;;1-1;;;
SOU;1-3;;4-1;;;;2-2;;2-4;2-3;;;;;;;;;NAN;3-1;;;;
SST;;;;;;;;1-2;;1-5;;;;3-6;1-4;;;;;NAN;;3-3;1-3;
WBA;1-1;;;;;;;5-3;2-2;;;;;;;1-0;;;;1-1;NAN;;1-1;
WGA;;;;2-0;2-2;0-1;;;;;;2-3;2-5;;;;;0-1;;;;NAN;;
WLV;;1-3;;1-0;0-0;2-2;;;;;;;;;;;;3-1;;;;;NAN;
WYC;;;;2-2;2-4;;;1-4;;;;;;;;2-4;;2-2;;;;;3-0;NAN
