Equipo;Posicion_Liga;ELO_Rating;Puntos;Partidos_Jugados;Victorias;Empates;Derrotas;Goles_a_Favor;Goles_en_Contra;Diferencia_de_Goles;Porcentaje_de_Puntos;Ultimos_5_Partidos;AVG_Goles_Marcados;AVG_Goles_Recibidos;Partidos_por_Jugar;Nivel_Division_Actual;Ascendido_este_anio_de_segunda;Trofeos_de_campeon_de_Primera_division;Trofeos_de_campeon_de_Segunda_division;Trofeos_de_campeon_de_Tercera_division;Otros_Trofeos;Trofeos_Totales_(Incluyendo_otras_Copas)
Everton;1;86;15;12;8;2;2;26;18;8;72.2;5;2.17;1.5;34;1;0;0;0;0;0;0
Ipswich Town;2;85;7;12;8;2;2;25;17;8;72.2;15;2.08;1.41;34;1;0;0;0;0;0;0
Golden Wind;3;92;8;12;7;4;1;29;18;11;69.4;13;2.42;1.5;34;1;0;0;0;0;2;2
Aston Villa;4;95;13;12;7;3;2;32;16;16;66.7;10;2.67;1.33;34;1;0;1;1;0;3;5
Bladequack F.C.;5;91;9;12;6;6;0;32;20;12;66.7;11;2.67;1.67;34;1;0;0;0;0;0;0
KFC Nise Team;6;93;7;12;6;5;1;31;20;11;63.9;10;2.58;1.67;34;1;0;2;0;0;0;2
Millwall;7;94;5;12;6;4;2;34;24;10;61.1;13;2.83;2.0;34;1;0;1;0;0;3;4
Hull City;8;93;10;12;6;4;2;26;18;8;61.1;8;2.17;1.5;34;1;0;0;0;0;1;1
Northampton F.C.;9;82;9;12;6;2;4;35;25;10;55.6;8;2.92;2.08;34;1;0;0;0;0;0;0
Bipolares F.C.;10;90;10;12;6;2;4;25;19;6;55.6;6;2.08;1.58;34;1;0;0;0;0;1;1
Gillingham;11;79;9;12;6;2;4;23;20;3;55.6;7;1.92;1.67;34;1;0;0;0;0;0;0
Wolverhampton;12;77;5;12;5;3;4;18;19;-1;50.0;7;1.5;1.58;34;1;0;0;0;0;1;1
West Bromwich Albion;13;76;8;12;4;6;2;24;20;4;50.0;6;2.0;1.67;34;1;1;0;0;0;0;0
AFC Bournemouth;14;75;5;12;3;5;4;21;22;-1;38.9;5;1.75;1.83;34;1;0;0;0;0;0;0
Exeter City;15;89;6;12;3;4;5;17;19;-2;36.1;6;1.42;1.58;34;1;0;0;0;0;2;2
Middlesbrough FC;16;76;3;12;3;4;5;18;26;-8;36.1;9;1.5;2.16;34;1;0;0;0;0;0;0
Southampton F.C.;17;74;6;12;3;3;6;25;30;-5;33.3;5;2.08;2.5;34;1;1;0;0;0;1;1
Reading FC;18;84;8;12;3;3;6;16;21;-5;33.3;4;1.33;1.75;34;1;0;0;1;0;0;1
Blackburn Rovers;19;84;7;12;2;4;6;18;26;-8;27.8;3;1.5;2.16;34;1;0;0;0;0;0;0
Wigan Athletic;20;70;4;12;2;2;8;15;29;-14;22.2;4;1.25;2.41;34;1;1;0;0;0;0;0
Wycombe Wanderers;21;81;6;12;1;5;6;17;26;-9;22.2;1;1.42;2.16;34;1;0;0;0;0;0;0
Inca F.C.;22;69;3;12;2;0;10;14;31;-17;16.7;3;1.17;2.58;34;1;1;0;0;0;0;0
Norwich City;23;76;2;12;0;4;8;10;27;-17;11.1;1;0.83;2.25;34;1;0;0;0;0;0;0
Sylver Stone;24;72;0;12;0;3;9;18;38;-20;8.3;2;1.5;3.16;34;1;1;0;1;1;0;2
